#N,Name,color,parent,start,stop,icon,description
N,3Dlabs,#000000,,1990,1994,,
N,Matrox,#000001,,1990,1994,,
N,NVIDIA,#000002,,1990,,,
N,Yamaha,#000003,,1990,1994,,
N,PowerVR,#000004,,1990,1994,,
N,3dfx,#000005,,1990,2001,,
N,Rendition,#000006,,1990,1994,,
N,ATi,#000007,,1990,2007,,
N,S3,#000008,,1990,1994,,
N,Intel,#000009,,1990,,,
N,Chromatic,#000000,,1990,1994,,
N,Cirrus Logic,#000000,,1990,1994,,
N,SiS,#000000,,1990,1994,,
N,Trident,#000000,,1990,1994,,
N,XGI,#000000,,2004,2004,,
N,AMD,#000000,ATi,2007,,,
,,,,,,,
N,Matrox Millennium (Storm),#000010,Matrox,1994,1994,,
N,Matrox Impression Plus (Athena),#000011,Matrox,1994,1994,,
N,NVIDIA NV1 (NV1),#000012,NVIDIA,1995,1995,,
N,NVIDIA NV1-D64 (STG2000),#000013,NVIDIA,1995,1995,,
N,3Dlabs 3D Blaster VLB (Gaming Glint),#000014,3Dlabs,1995,1995,,
N,Yamaha Tasmania 3D (YGV612-F),#000015,Yamaha,1995,1995,,
N,Yamaha Yamaha Virtuality (YGV611),#000016,Yamaha,1995,1995,,
N,Number Nine Imagine 128 Series 2 (Imagine 128-II),#000017,,1995,1995,,
N,Matrox Millennium (1995) (MGA-2064W),#000018,Matrox,1995,1995,,
N,"3dfx Voodoo Graphics (Pixelfx, Texelfx)",#000019,3dfx,1996,1996,,
N,3Dlabs Permedia 80 (TVP4010),#000020,3Dlabs,1996,1996,,
N,PowerVR PowerVR Series 1(A) (PCX1),#000021,PowerVR,1996,1996,,
N,"3Dlabs Permedia NT (TVP4010, Delta)",#000022,3Dlabs,1996,1996,,
N,Rendition Verite 1000L (V1000L-P),#000023,Rendition,1996,1996,,
N,3Dlabs Permedia (Permedia3D),#000024,3Dlabs,1996,1996,,
N,"PowerVR PowerVR Series 1 (Compaq) (Sabre, Texas)",#000025,PowerVR,1996,1996,,
N,Rendition Verite 1000 (V1000E),#000026,Rendition,1996,1996,,
N,Matrox Mystique 170 (MGA-1064SG-D),#000027,Matrox,1996,1996,,
N,Matrox Mystique (first spec) (MGA-1064SG-D),#000028,Matrox,1996,1996,,
N,ATi 3D XPRESSION+ PC2TV (Rage II),#000029,ATi,1996,1996,,
N,ATi 3D Xpression+ 2MB (Rage II),#000030,ATi,1996,1996,,
N,ATi 3D Xpression (3D Rage),#000031,ATi,1996,1996,,
N,S3 ViRGE /VX (86C988),#000032,S3,1996,1996,,
N,S3 ViRGE (86C325),#000033,S3,1996,1996,,
N,Chromatic Mpact! 3600 (R/3600),#000034,Chromatic,1996,1996,,
N,Chromatic Mpact! M1 (/3000),#000035,Chromatic,1996,1996,,
N,Number Nine Imagine 128 Series 2e (Imagine 128-II),#000036,,1996,1996,,
N,NVIDIA Riva 128 (STG3000),#000037,NVIDIA,1997,1997,,
N,Rendition Verite 2200 A-grade (V2200),#000038,Rendition,1997,1997,,
N,ATi Xpert 8MB AGP (Rage Pro),#000039,ATi,1997,1997,,
N,"3dfx Voodoo Graphics 6 MB (Pixelfx, Texelfx)",#000040,3dfx,1997,1997,,
N,Rendition Verite 2200 (V2200),#000041,Rendition,1997,1997,,
N,ATi Xpert 4MB (Rage Pro),#000042,ATi,1997,1997,,
N,3Dlabs Permedia 2 (TVP4020),#000043,3Dlabs,1997,1997,,
